"SAMAccountName","LastLogonDate"
"_Clinical",
"_Communications",
"_SocialEnterpriseAss",
"_SocialEnterprisePri",
"MichelleW","5/2/2016 10:02:34 AM"
"MikoleM","2/23/2018 8:11:53 AM"
"mimid","11/24/2019 3:38:35 PM"
"mitzuyl","11/26/2019 9:25:19 AM"
"mohinin","12/3/2015 2:52:02 PM"
"mollym","8/23/2015 2:01:24 PM"
"MonicaH","11/25/2019 11:14:30 AM"
"MoniqueT","4/13/2017 2:34:08 PM"
"MorganH","11/18/2019 12:42:48 PM"
"mtillman","2/21/2019 10:29:00 AM"
"myongk","11/21/2019 9:40:35 AM"
"myrnar","6/20/2019 1:11:36 PM"
"nadiam","11/27/2019 5:55:05 AM"
"nakiab",
"natashag","8/29/2019 9:43:16 AM"
"natashas","8/18/2015 8:33:16 AM"
"NavarrialM",
"neomit","11/25/2019 8:51:22 AM"
"newempt",
"nicholasn",
"nicolasm","8/14/2018 4:52:46 PM"
"nicoled","3/1/2016 10:42:55 AM"
"nicolek","2/7/2018 12:27:06 PM"
"noemiz",
"nohemim","3/11/2016 9:14:12 AM"
"NormaY","11/23/2016 9:55:44 AM"
"nreynoso","4/27/2016 8:56:08 AM"
"nuryv","6/6/2016 10:23:02 AM"
"NyehlaI","10/13/2017 11:11:57 AM"
"oraliar","11/25/2019 8:55:02 AM"
"oscarr","7/11/2017 8:33:53 AM"
"PatriceB","7/24/2017 11:06:01 AM"
"patriciab",
"patriciah",
"patriciam","2/20/2014 8:15:11 AM"
"PatriciaP","4/3/2018 9:25:16 AM"
"patricks","11/17/2019 12:49:41 PM"
"paulab","9/9/2017 12:49:12 PM"
"paulp","11/18/2019 2:45:34 PM"
"penelopel","2/17/2016 8:57:58 AM"
"penneym","11/20/2019 4:15:54 PM"
"pennya","5/8/2018 1:11:03 PM"
"policyintern","2/6/2019 12:37:44 PM"
"pperez","10/19/2018 3:16:39 PM"
"programss",
"projector","11/5/2019 3:34:49 PM"
"QBDataServiceUser20","2/14/2015 7:00:44 PM"
"QBDataServiceUser22","3/27/2017 6:06:13 PM"
"QBDataServiceUser27","6/17/2017 3:23:06 AM"
"QBDataServiceUser29","11/18/2019 2:33:36 AM"
"RachaelC","2/6/2017 9:08:52 AM"
"rachaelm","9/23/2019 5:29:24 PM"
"rachaels","12/19/2016 9:03:06 PM"
